Date,Close,High,Low,Open,Volume
2020-01-01,633.1510620117188,635.8577748694352,629.4562232684716,631.5614385527498,2112415
2020-01-02,631.3036499023438,636.5451590730723,628.038444888832,634.9125827890715,5658200
2020-01-03,641.013427734375,642.7319623931803,630.6163140268093,630.6163140268093,7882938
2020-01-06,634.8696899414062,647.7157479073298,632.8504325536925,641.0993785171215,6519403
2020-01-07,625.4606323242188,638.0918185403439,623.0546421444718,634.1392102944898,7899363
2020-01-08,617.1257934570312,626.4058699298521,608.6190260970619,622.9258478082336,8639443
2020-01-09,625.159912109375,628.5540284252443,613.7746204119936,620.1332193947744,13521186
2020-01-10,634.2681274414062,638.3496467880162,627.694712147083,636.2444315832944,9341405
2020-01-13,664.686279296875,668.080395977763,648.7468796954483,653.0432166470738,36952038
2020-01-14,666.4907836914062,667.607820828844,659.2299636297804,661.5929489936188,11414418
2020-01-15,659.5306396484375,664.944013428589,654.8906274563863,664.944013428589,6047430
2020-01-16,659.05810546875,663.7840762380827,653.25805043366,662.2374053844961,5740586
2020-01-17,659.7884521484375,664.1277944750946,654.9765756863783,662.2373957058855,3762957
2020-01-20,660.3040161132812,665.416667416314,655.5780456130107,663.0106768415801,3887680
2020-01-21,655.1912231445312,662.065360567687,653.6875055832159,660.3038733421046,4448374
2020-01-22,661.8076171875,668.5098909521603,658.1986844079111,660.3038995664637,9733935
2020-01-23,673.9663696289062,674.9545481250569,667.3930054333838,667.7366809288342,12528017
2020-01-24,672.5914306640625,675.8136828071354,664.7291144567608,666.5765599969933,7540490
2020-01-27,668.5958862304688,674.3529878110744,665.4166390766485,669.4122006803074,3741610
2020-01-28,668.510009765625,671.7752152625233,663.3544055772012,671.087811859837,5121009
2020-01-29,678.5634765625,681.2271845254437,673.8804587413712,675.8997161540362,6832757
2020-01-30,670.8299560546875,678.5633613449273,668.5099239785133,678.5633613449273,3859680
2020-01-31,666.7484741210938,674.481879846576,663.0106298864689,670.7010827359123,6092028
2020-02-03,659.4017944335938,679.6375303151891,656.9098981061286,671.9470769378582,6416745
2020-02-04,676.9736938476562,678.7352336975645,661.7216998917521,661.7216998917521,5771311
2020-02-05,674.1381225585938,675.3840705824857,665.4165912823738,671.087734255625,6310409
2020-02-06,662.7957153320312,676.0714036923882,661.6357256224542,673.966188621761,7341622
2020-02-07,667.9085693359375,669.2404233762667,662.4951949634727,666.7485792723816,2853344
2020-02-10,664.385498046875,668.5099706672875,661.4210153228079,665.0729014093579,3827682
2020-02-11,664.686279296875,669.4552028240754,660.9484871271686,669.3692970632507,4312817
2020-02-12,671.1306762695312,673.0210747118617,666.0180256341979,666.6195231993272,2948825
2020-02-13,680.7545776367188,682.2582955425115,672.1189510096988,674.5248891698634,4387430
2020-02-14,675.7708129882812,686.7264716212071,674.1811369350173,682.687904616437,5321680
2020-02-17,678.3486328125,681.7857022776892,673.0641175315645,679.0789890956455,2929629
2020-02-18,685.3945922851562,686.5975350544546,673.3648499190842,674.5248398118925,5083346
2020-02-19,687.800537109375,691.5812818518593,684.1056981207253,687.4138563260885,3985192
2020-02-20,684.8361206054688,692.655432999293,682.1294073061725,690.2065418774689,4564569
2020-02-24,683.8479614257812,697.3814234134206,680.6687138993881,687.4998479938745,6627536
2020-02-25,686.0390625,692.5694732797665,683.4612604902738,686.5546019237387,6996695
2020-02-26,672.5914306640625,688.6597385066209,670.6580793782189,682.2152342204753,8760569
2020-02-27,668.3810424804688,670.8729386068777,663.5262137452423,668.5099535525468,5223386
2020-02-28,628.7260131835938,650.2936055272808,620.4340611872049,644.4505972678239,14123957
2020-03-02,636.7600708007812,658.1128963036546,630.4874295208866,633.2800484591393,9821523
2020-03-03,641.8726806640625,652.1838883855736,636.9318936308385,648.7468191450699,7826587
2020-03-04,651.9691162109375,654.332101475623,640.6267764513437,647.8016904496086,11013444
2020-03-05,648.4031372070312,664.686264377304,645.9542461777803,656.2654546302358,7755293
2020-03-06,634.9556274414062,639.2949171290524,626.4918124610296,636.7171150438545,9216022
2020-03-09,605.3108520507812,623.6991405627762,598.9093002604727,622.5391507011657,10308654
2020-03-11,589.457275390625,598.0069941743861,574.8926864498168,593.4528886874372,16165009
2020-03-12,542.3695678710938,575.7091309346221,539.1902681514557,573.9905962154143,13965574
2020-03-13,551.9502563476562,573.1312134760614,489.7822963738455,508.6861744795027,16903113
2020-03-16,501.0818786621094,534.5933121692209,498.37516497755473,534.4644010621363,19140152
2020-03-17,476.8504333496094,508.68627864387685,472.59704941576393,505.3351149516307,16059887
2020-03-18,459.1065673828125,496.65656374689837,453.6931931805577,488.06388963363025,15390183
2020-03-19,468.7732238769531,479.47111131199466,437.58183411403814,437.58183411403814,16583991
2020-03-20,502.8431701660156,530.5545370484156,470.87842020326207,472.16732098848996,21354894
2020-03-23,452.3612976074219,482.0060205736713,443.29603774017926,464.00435947172974,17146150
2020-03-24,506.7958984375,516.5486148256612,448.53757961967995,448.53757961967995,20027097
2020-03-25,520.887939453125,545.6348315607934,486.087607676413,512.9826684122734,18339548
