Date,Close,High,Low,Open,Volume,MA20,MA50,Daily_Return,Volatility
2020-01-01,675.3241577148438,683.1528519736394,673.4900624593615,679.0819357370663,14004468,,,,
2020-01-02,686.8212280273438,689.3487905881979,676.397899264457,676.397899264457,17710316,,,1.7024521011366867,
2020-01-03,687.6488647460938,689.6619561224467,681.3187895160008,685.7923126356704,20984698,,,0.12050249540584979,
2020-01-06,671.70068359375,683.5107670428088,670.13493269889,679.9767186772816,24519177,,,-2.319233255512232,
2020-01-07,682.0345458984375,686.4633346701793,677.0688889990518,679.5293205694625,16683622,,,1.5384623772301431,
2020-01-08,676.9122924804688,686.4408797211686,675.5031406802602,677.7399018936877,16047902,,,-0.7510255087183726,
2020-01-09,692.5026245117188,693.3973052036212,685.0094646794911,688.2975058097518,14982742,,,2.3031539247309274,
2020-01-10,692.3460083007812,696.9537331994524,688.7671661721967,694.247234586273,12478359,,,-0.022615973628681285,
2020-01-13,690.5789794921875,697.2892636445985,688.2080160085029,691.182918802657,18282382,,,-0.25522336915475563,
2020-01-14,684.181884765625,693.3973351908096,680.8043754201078,688.9238120878065,15816535,,,-0.9263378869809435,
2020-01-15,681.6990966796875,688.879119007135,679.1939307600682,687.0673605574593,15817859,,,-0.36288421854198116,
2020-01-16,687.9843139648438,690.4224084594933,683.55552505049,684.0029251254354,12847975,,,0.9219929021131668,
2020-01-17,707.2653198242188,709.0323441677112,694.8288990509899,694.9631011634697,29463471,,,2.8025356782131805,
2020-01-20,685.5015258789062,719.7911481994419,682.839761284159,719.7911481994419,32545850,,,-3.077175330853432,
2020-01-21,686.1949462890625,691.5408127343894,680.8714169985212,683.8239827310947,18922720,,,0.10115519571851639,
2020-01-22,685.9488525390625,691.9433921150559,684.9423069375898,690.7131763493682,10322817,,,-0.03586353285328636,
2020-01-23,683.0411987304688,689.796218032275,680.2899656476081,687.3581232334355,11247739,,,-0.42388784496555365,
2020-01-24,680.6701049804688,687.2909208972738,679.3280242942884,683.1081395891008,14628445,,,-0.34713773552854654,
2020-01-27,673.9597778320312,681.9674086637826,673.2663704558863,677.6952189115842,13387750,,,-0.9858413200958815,
2020-01-28,658.3919677734375,675.5032444510476,654.7460541997162,674.8769082130656,24532236,683.5354187011719,,-2.3099019512220265,
2020-01-29,662.0154418945312,668.5243925324733,654.9472262974796,659.4207487202938,24746565,682.8699829101563,,0.5503521152221413,1.4959625213714367
2020-01-30,645.8660278320312,661.9483606637074,644.1884717288344,661.6352224321117,22402689,680.8222229003907,,-2.4394316265923033,1.5214100541689595
2020-01-31,631.5060424804688,650.115939458839,629.5153479649114,650.004074503463,34750310,678.0150817871094,,-2.2233690475661705,1.5769064787350737
2020-02-03,619.8076782226562,626.2719547408867,609.7646194987522,612.8289902103342,30712290,675.4204315185547,,-1.8524548414236786,1.5504424492518312
2020-02-04,638.1044311523438,640.8332667548419,625.310139999637,626.2942886767648,25383901,673.22392578125,,2.952004883539816,1.6705349282442337
